distance,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8
88.723,0.21312685,0.16379574,,0.14222481,0.2072066,,0.26340554,0.32361562
89.102,0.20650808,0.1671733,,0.14386666,0.21900661,,0.26118107,0.32483294
89.481,0.21211213,0.16577515,,0.14219153,0.21748647,,0.26338774,0.32048087
89.861,0.22449062,0.15224136,,0.15095543,0.20695251,,0.26264032,0.31871496
90.24,0.22487114,0.14624031,,0.15156558,0.20020774,,0.259462,0.31351128
90.619,0.21316721,0.15521832,,0.13413207,0.20507574,,0.26780109,0.32003156
90.998,0.20978287,0.16422776,,0.13023823,0.19957472,,0.27047401,0.32893424
91.377,0.21308073,0.16308881,,0.12867404,0.19818832,,0.2670679,0.32900738
91.756,0.20594306,0.15433073,,0.12332141,0.20974314,,0.26737399,0.32804084
92.136,0.20985206,0.15433859,,0.1333888,0.19348526,,0.26826022,0.32671902
92.515,0.22208065,0.16467548,,0.13168594,0.20514261,,0.26289658,0.32289463
92.894,0.22925867,0.159617,,0.13301162,0.21096905,,0.26410313,0.31705877
93.273,0.22557453,0.15894934,,0.1365671,0.21117857,,0.27497633,0.3219333
93.652,0.23208953,0.16747964,,0.13932385,0.21508813,,0.29160112,0.3278214
94.031,0.24536167,0.16981251,,0.14279613,0.21725912,,0.29003509,0.33189657
94.41,0.23045789,0.17929323,,0.14665668,0.21832009,,0.28096638,0.33602399
94.79,0.22047784,0.17831138,,0.15287462,0.21913589,,0.28126179,0.33553288
95.169,0.21629787,0.17287587,,0.14275175,0.21946577,,0.28806688,0.33518806
95.548,0.21462588,0.16095231,,0.14503148,0.21504355,,0.27168056,0.33472307
95.927,0.21380141,0.16038677,,0.15922012,0.19792976,,0.26953795,0.33352142
96.306,0.21519666,0.1599469,,0.14901961,0.19629372,,0.2656478,0.32746091
96.685,0.22594929,0.16045746,,0.14239121,0.21560525,,0.25859357,0.33195404
97.065,0.24144114,0.16011971,,0.14291261,0.21863214,,0.26552679,0.33419016
97.444,0.24373004,0.16734611,,0.14412181,0.2220023,,0.27132464,0.33886094
97.823,0.23437842,0.16526459,,0.14091577,0.23612931,,0.26918915,0.33744508
98.202,0.21639012,0.15940492,,0.1452589,0.23148866,,0.25696348,0.33419539
98.581,0.22599541,0.1550141,,0.15255845,0.21694707,,0.2506887,0.34076791
98.96,0.23651742,0.1476149,,0.1491139,0.20513815,,0.24980959,0.35527656
99.34,0.22877437,0.14751278,,0.14221372,0.20907,,0.25278859,0.36514579
99.719,0.2252113,0.15074895,,0.14432149,0.19402466,,0.25303062,0.37286249
100.098,0.21621715,0.14678229,,0.14472086,0.19350309,,0.25777852,0.37766911
100.477,0.21309226,0.14550981,,0.14462656,0.205419,,0.25989977,0.37254902
100.856,0.210763,0.155344,,0.15755609,0.21328715,,0.25479239,0.36980089
101.235,0.21100515,0.15327034,,0.15872091,0.20275764,,0.25299858,
101.614,0.21756627,0.14975925,,0.14708933,0.20027906,,0.25073852,
101.994,,0.15894149,,0.14574146,0.20671178,,0.25169238,
102.373,,0.16903488,,0.14335635,0.20723781,,0.24902657,
102.752,,0.17155627,,0.1401004,0.20266403,,0.24787341,
103.131,,0.16227192,,0.14290706,0.20721998,,0.25219422,
103.51,,0.15890222,,0.15269157,0.21433029,,0.25923421,
103.889,,0.16326947,,0.15060598,0.21107604,,0.26100311,
104.269,,0.16637211,,0.14883656,0.21881492,,0.25264623,
104.648,,0.16851647,,0.15579222,0.22444968,,0.24992704,
105.027,,0.16501324,,0.16229304,0.22366063,,0.25021177,
105.406,,0.15788109,,0.15584214,0.21269425,,0.25091292,
105.785,,0.16211482,,0.15296891,0.20573105,,0.24502609,
106.164,,0.16464406,,0.15706798,0.20813384,,0.24365226,
106.544,,0.15549324,,0.1469784,0.20549032,,0.24483389,
106.923,,0.14716717,,0.14449344,0.19821061,,0.24359175,
107.302,,0.14354612,,0.15303547,0.21388896,,0.24484457,
107.681,,0.14642097,,0.14904734,0.20809372,,0.24941808,
108.06,,0.15344314,,0.14479297,0.21542247,,0.25345415,
